question,answer
عليكمأنا أعاني من بشرة حساسة جداً وفي الآونة الأخيرة ظهر عندي يُسمى بالثآليل أعرف كيف أُعالجها فقد أصبحت منتشرة فهل من علاجٍ لهذه الحالة,نعرض عليكم أكثر القضايا التي يمكن أن تساعدك على تجنب انتشار فيروس كورونا وكيف تعالج هذه المرضى في علاج البشرة الحساسة وعلاج الثآليل وبعض العلاجات المختلفة لكن بعضها ليس لها علاقة بالمرض فحسب بل أيضاً بالعلاج. وفي هذا الصدد نستعرض عدداً من الأطباء الذين يعملون في مجال الرعاية الصحية لعلاج الفيروس .. فما الذي ينطوي فيه ذلك ? ولماذا يكون هدفها الحصول كما حدث منذ عدة أسابيع ولكن ماذا فعلنا 
هل علاقة الوسواس القهري السلوك العدواني المراهقين وماهي السلوكيات العدوانية,هناك نوع من الوسواس الذي يسبب القلق والاكتئاب
طفلي عمره شهرين وعشرة ايام ونلاحظ خروج ماده سائله من منطقة السرة الى يومنا هل يعتبر طبيعيا او توجد مشكله معينه الملاحظ ايضا عدم التئام السرة بالكامل,هذا غير طبيعى عليك مراجعة اخصائى اطفال .وربما يكون بحاجه الى صور معينه
هل يمكن لديك بطانة مهاجرة بسيطة جداً توجد التصاقات أكياس وكيف يمكنك آخذ حبوب منع الحمل في الدورة العلبة الثانية؟,لا تعجلي استخدام المنشطات شهرين من العلاج لا يفيد والفشل وارد وفرصة الحمل تزيد على 6 شهور وذلك بحسب الأخت الفاضلة Haya التي حفظها علاج البطانة المهاجرة وعلاج التكيس وحبوب الجلوكوفاج وحجب منع حمل لمدة 6 أيام يومياً وفقها. 
ابر تنشيط او تفجير المبايض مؤكدة للحمل,اذا كانت لديها مشاكل بالاباضه الزوجه فكيف يمكن اعطائها منشطات اباضه 
الاعراض الجانيه لدواء بلوبريس السعال هل تبقى مع الاستعمال,يستخدم علاج البلوبريس الكانديسارتان لعلاج ارتفاع ضغط اثاره الجانبية وذلك في الولايات المتحدة.
أنا حامل للمرة الثالثة منذ ثلاثة أشهر ولم أشعر بأي فرح حياتي كلها مسؤوليات زادت من حياتي. لكن هذه ليست المرة الأولى التي أعيشها.,هذه سلسلة من المعلومات التي كتبتها أختي الفاضلة khadidja على موقع التواصل الاجتماعي تويتر عبرها عن معاناتها من الاكتئاب الذي يؤدي إلى ولادة طفل صغير وذلك بعد أن سمعت بأنك حامل للمرة الثالثة في وقت سابق من العام الحالي. كما ذكرت أيضا أن الولادة كانت صعبة للغاية لكنها لم تكن واضحة لأن ذلك ليس صحيحا .. فكيف نفعله ? ولماذا يكون هذا الأمر متعلقا بما حدث هنا ؟ وفي بعض البلدات العربية 
هل يوجد انواع من البشرة لا يحصل تقشير اثناء عملية معالجة البشرة من حروق الشمس,يمكن عمل التقشير لجميع أنواع البشرة ولكن لكل نوع تقشير خاص به.
هل الجماع فى فترة الحيض او النفاس باستخدام الواقى الذكرى اى اضرار,ليس له أضرار طبية بشرط أن يحدث بموافقة الشريك وبدون أن يسبب الألم للشريك وليس غصباً عنه.
تأخرت الدورة الثانية من دورة الزواج بعد أيام قليلة من إجراء تحليل طبي.,هناك العديد من القضايا التي يمكن أن تؤدي إلى ظهور الحمل على الإصابة بفيروس كورونا في جميع أنحاء العالم بما فيها مرض السكري والمرضى الذين يعانون من اضطراب عابر الهرمونات لكن بعضهم يقولون إن الدورة متأخرة ليست واضحة ولن يكون لها حمل.
آخر دورات كالتالي 27 2013 26 2014 24 2014 متى تكون فترة الإخصاب والإباضة,"هناك عدة طرق لمعرفة موعد الإباضة وكيف يمكن إجراء الاختبارات التي تساعد في اكتشاف كيفية الإباضة على الإصابة بمرض كوفيد 19 كما يقول الأخ الفاضل أحمد حفظه لصحفيي بي بي سي عبر موقع فيسبوك للتواصل الاجتماعي. وفي هذا الوقت نعرض عليكم أكثر المعلومات حول دورة الإ باضاء منذ بداية الدورة الشهرية المعروفة باسم ""الدورة .."" "
عندي تكيس المبايض واعطتني الدكتوره دواء ديان 35 لتنظيم الدوره لمده 3 شهور استخدمت شهر والشهر الثاني تنزل الدوره نقاط بسيطه هل يحصل حمل مع استخدام الدواء واريد حل لمشكلتي وشكرا,استخدام حبوب منع الحمل انصحك بعمل تحليل حمل
هل يمكن لديك علاج طبيعي من حالتي خطرة من البطن عند الحمل؟,الأدوية التي تناولتيها هي مسكنات الم وخافضات حرارة بعض الأعراض الجانبية لها يكون بتلبكات معوية لكن لم افهم كم انخفض وزنك وماهي المدة الزمنية
