question,answer,tags
What are some symptoms that indicate a dangerous or serious medical problem related to a headache?,"Headaches that aren't explained, headaches that steadily worsen, headaches that develop suddenly and severely, headaches that persist for several days, headaches that cause mental confusion or loss of consciousness, and headaches that happen with seizures.",headache
When should I seek immediate medical attention for a headache?,"You should seek immediate medical attention for a headache if it develops suddenly and severely, persists for several days, causes mental confusion or loss of consciousness, or happens with seizures. You should also seek medical attention if your headache occurs with new dizziness or loss of balance, weakness or paralysis, such as in the arms or legs, numbness, difficulty speaking or understanding speech, or a reddened eye.",headache
What are some other situations where I should seek medical attention for a headache?,"You should also seek medical attention if your headache occurs with a fever, stiff neck, or rash, is accompanied by changes in vision, such as blurring or seeing halos around lights, is serious and follows a recent sore throat or respiratory infection, begins or worsens after a head injury, fall or bump, is triggered by changing the position of your head, coughing, sneezing, bending or physical activity, or is a different type of headache from your usual type and you're older than 50.",headache
What should I do if I get bitten by a tick?,"Remove the tick promptly and carefully using fine-tipped forceps or tweezers to grasp the tick as close to the skin as possible. Gently pull out the tick using a slow and steady upward motion. Avoid twisting or squeezing the tick. Do not handle the tick with bare hands. Do not use petroleum jelly, fingernail polish or a hot match to remove a tick. Secure the tick and take a picture. A picture of the tick can help you and your health care provider identify what type it is and whether you are at risk of a transmitted disease. Wash your hands and the bite site with warm water and soap, rubbing alcohol, or an iodine scrub.",tick bites
When should I seek emergency care after a tick bite?,"Call 911 or your local emergency number if you develop a severe headache, difficulty breathing, paralysis, or heart palpitations.",tick bites
When should I contact my doctor after a tick bite?,"Contact your doctor if you aren't able to completely remove the tick, the rash gets bigger, you develop flu-like signs and symptoms, you think the bite site is infected, or you think you were bitten by a deer tick. If possible, bring the tick, or a photo of the tick, with you to your doctor's appointment.",tick bites
What infections can be transmitted through tick bites?,"Some ticks transmit bacteria that cause illnesses, including Lyme disease and Rocky Mountain spotted fever. In general, to transmit Lyme disease a tick needs to be attached to a person's skin for at least 36 hours. Other infections can be transferred in a few hours or even a few minutes.",tick bites
What are the signs and symptoms of Lyme disease?,"A small bump may appear at the site of the tick bite. If it develops into a larger rash or you develop a rash anywhere, possibly with a bull's-eye pattern, it may indicate Lyme disease. The rash usually appears within 3 to 14 days. Flu-like signs and symptoms such as fever, chills, fatigue, muscle and joint pain, and a headache may also accompany the rash.",tick bites
"What should you do if the foreign object in the nose is a magnet, battery, or expands when wet?",Remove it right away and seek emergency care.,foreign object in the nose
What should you avoid doing if a foreign object becomes lodged in the nose?,"Avoid poking or prodding the object with fingers, cotton swabs or other tools, and don't wash out the object.",foreign object in the nose
